RANK,NAME,position,Total RAA,G,GS,IP,ifH,FC,PO,Ass,E,BBO,BBO%,F%,RF9,Range RAA,Err RAA,DP RAA,Bt RAA,/144,Team
1,이도윤,SS,4.57,17,10,97.0,0,0,19,28,1,13,92.3,97.9,4.36,3.21,-0.15,1.52,0.0,19.36,hanhwa
2,노시환,3B,2.27,40,40,348.0,6,0,33,69,4,36,72.2,96.2,2.64,2.46,0.24,0.0,-0.43,8.17,hanhwa
3,채은성,1B,0.64,15,15,125.2,2,0,127,7,2,62,93.5,98.5,9.6,0.33,0.31,0.0,0.0,3.2,hanhwa
4,김태연,1B,0.16,12,6,66.1,2,0,52,5,1,24,87.5,98.3,7.73,0.51,-0.34,0.0,-0.01,0.86,hanhwa
5,문현빈,SS,-0.05,1,0,2.0,0,0,2,0,0,1,100.0,100.0,9.0,-0.06,0.01,0.0,0.0,-0.24,hanhwa
6,황영묵,2B,-0.11,3,0,5.1,0,0,2,1,0,0,0.0,100.0,5.06,-0.13,0.02,0.0,0.0,-0.64,hanhwa
7,정은원,2B,-0.19,4,4,31.0,0,0,6,10,0,0,0.0,100.0,4.65,-0.61,0.11,0.3,0.0,-1.27,hanhwa
8,하주석,3B,-0.22,1,0,1.0,0,0,0,1,0,1,100.0,100.0,9.0,-0.22,0.0,0.0,0.0,-2.88,hanhwa
9,이도윤,2B,-0.29,14,4,55.0,1,0,14,18,2,9,66.7,94.1,5.24,1.03,-0.79,-0.53,0.0,-1.24,hanhwa
10,이도윤,3B,-0.42,1,0,1.0,0,0,0,0,0,0,0.0,0.0,0.0,-0.43,0.0,0.0,0.0,-1.8,hanhwa
11,하주석,SS,-1.12,10,10,81.0,3,0,15,25,0,28,89.3,100.0,4.44,-1.49,0.29,0.08,0.0,-14.69,hanhwa
12,김인환,1B,-1.4,1,1,6.0,0,0,3,1,1,0,0.0,80.0,6.0,-0.92,-0.48,0.0,0.0,-67.39,hanhwa
13,황영묵,SS,-1.61,23,20,170.0,3,0,28,50,1,15,73.3,98.7,4.13,-0.12,0.11,-1.6,0.0,-9.29,hanhwa
14,안치홍,1B,-2.14,18,18,152.0,2,0,124,13,3,41,87.8,97.9,8.11,-1.51,-0.62,0.0,-0.01,-7.71,hanhwa
15,김태연,2B,-3.02,6,4,30.2,0,0,10,9,2,1,-100.0,90.5,5.58,-2.4,-0.39,-0.23,0.0,-16.1,hanhwa
16,문현빈,2B,-5.54,29,28,228.0,5,0,39,71,1,54,88.9,99.1,4.34,-6.84,0.84,0.46,0.0,-24.95,hanhwa
1,정훈,3B,1.93,2,1,11.0,0,0,1,5,0,0,0.0,100.0,4.91,2.17,0.04,0.0,-0.29,7.71,lotte
2,최항,2B,1.58,19,11,108.0,2,0,24,39,0,36,94.4,100.0,5.25,1.52,0.4,-0.33,0.0,9.12,lotte
3,고승민,2B,1.29,10,9,75.0,3,0,12,26,0,27,88.9,100.0,4.56,1.15,0.28,-0.14,0.0,9.29,lotte
4,이주찬,SS,0.8,3,0,5.0,1,0,1,3,0,3,66.7,100.0,7.2,0.28,0.02,0.51,0.0,8.27,lotte
5,정대선,2B,0.73,2,0,4.0,0,0,2,3,0,1,100.0,100.0,11.25,0.53,0.01,0.19,0.0,35.16,lotte
6,김민성,2B,0.61,2,2,9.0,1,0,0,6,0,3,66.7,100.0,6.0,0.58,0.03,0.0,0.0,4.65,lotte
7,오선진,SS,0.3,1,0,2.0,0,0,0,1,0,1,100.0,100.0,4.5,0.29,0.01,0.0,0.0,5.42,lotte
8,오선진,3B,0.22,4,1,14.0,1,0,0,4,0,3,66.7,100.0,2.57,0.17,0.05,0.0,0.0,3.87,lotte
9,오선진,2B,0.09,3,2,16.0,1,0,1,5,0,6,83.3,100.0,3.38,0.03,0.06,0.0,0.0,1.56,lotte
10,이학주,3B,0.01,3,2,5.2,0,0,0,0,0,0,0.0,0.0,0.0,-0.01,0.02,0.0,0.0,0.08,lotte
11,손호영,3B,-0.02,14,9,84.0,2,0,7,19,2,17,76.5,92.9,2.79,-0.13,0.3,-0.19,0.0,-0.1,lotte
12,김민성,3B,-0.13,16,11,94.2,3,0,6,14,0,12,75.0,100.0,1.9,-1.35,0.34,0.57,0.32,-0.95,lotte
13,손호영,2B,-0.22,16,13,94.1,6,0,19,31,0,32,81.3,100.0,4.77,-0.85,0.35,0.28,0.0,-1.08,lotte
14,박승욱,2B,-0.36,12,2,36.0,1,0,11,16,0,21,95.2,100.0,6.75,-0.49,0.13,0.0,0.0,-1.38,lotte
15,고승민,1B,-0.46,2,0,6.0,0,0,6,1,0,5,100.0,100.0,10.5,-0.48,0.01,0.0,0.0,-3.35,lotte
16,박승욱,3B,-0.56,15,5,61.1,2,0,7,8,1,15,80.0,93.8,2.2,-1.35,0.22,0.57,0.0,-2.17,lotte
17,노진혁,SS,-0.88,12,11,75.0,2,0,17,17,2,29,86.2,94.4,4.08,-1.28,0.27,0.13,0.0,-7.48,lotte
18,최항,1B,-0.96,7,1,15.1,0,0,9,0,0,8,100.0,100.0,5.28,-0.99,0.04,0.0,0.0,-5.51,lotte
19,나승엽,1B,-1.29,16,14,115.0,5,0,116,10,3,96,91.7,97.7,9.86,-1.56,0.28,0.0,-0.01,-10.9,lotte
20,손호영,SS,-2.76,6,4,39.0,2,0,8,9,1,12,75.0,94.4,3.92,-2.97,0.14,0.06,0.0,-13.73,lotte
21,한동희,3B,-2.85,5,5,25.1,4,0,1,5,2,6,0.0,75.0,2.13,-2.38,-0.41,-0.38,0.32,-41.07,lotte
22,정훈,1B,-3.44,26,24,206.0,9,0,185,18,2,121,90.9,99.0,8.87,-3.46,0.01,0.0,0.01,-13.77,lotte
23,이학주,SS,-3.7,17,11,115.0,4,0,16,34,1,29,82.8,98.0,3.91,-2.63,-0.09,-0.98,0.0,-29.57,lotte
24,박승욱,SS,-4.57,18,13,106.1,5,0,11,31,5,23,56.5,89.4,3.55,-3.73,-1.12,0.28,0.0,-17.78,lotte
25,이주찬,3B,-5.38,10,5,46.1,2,0,3,9,4,13,53.8,75.0,2.33,-3.97,-0.83,-0.57,0.0,-55.31,lotte
