RANK,NAME,Team,Position,WAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
1,최재훈,hanhwa,C,0.86,26,88,85,64,9,19,3,0,0,22,6,0,0,10,8,0,16,0,3,3,0.297,0.435,0.344,0.779,0.038,125.2
2,박상언,hanhwa,C,0.25,12,32,32,27,4,9,2,0,0,11,4,0,0,4,1,0,5,0,0,0,0.333,0.438,0.407,0.845,0.046,131.6
3,이재원,hanhwa,C,0.0,17,37,36,28,3,5,0,0,0,5,3,0,0,5,2,1,5,1,1,1,0.179,0.333,0.179,0.512,-0.068,46.5
1,안치홍,hanhwa,1B,-0.2,40,168,168,150,17,38,8,0,2,52,16,2,1,14,3,0,24,1,0,1,0.253,0.327,0.347,0.674,-0.020,81.9
2,김인환,hanhwa,1B,-0.23,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.306,-135.9
3,채은성,hanhwa,1B,-0.5,29,121,121,111,11,22,5,0,2,33,17,1,0,8,1,0,25,3,0,1,0.198,0.256,0.297,0.553,-0.059,51.8
1,정은원,hanhwa,2B,0.13,22,70,69,57,10,11,3,1,1,19,6,2,0,12,0,0,13,0,1,0,0.193,0.333,0.333,0.666,-0.026,77.3
2,문현빈,hanhwa,2B,-0.6,32,119,118,106,16,26,4,1,2,38,15,0,4,11,0,0,25,5,1,1,0.245,0.314,0.358,0.672,-0.035,70.1
1,노시환,hanhwa,3B,1.04,40,177,175,157,22,42,3,1,8,71,30,2,0,18,2,4,38,2,0,0,0.268,0.35,0.452,0.802,0.009,104.0
1,이도윤,hanhwa,SS,0.8,34,65,65,60,10,17,3,2,0,24,8,1,0,4,1,0,9,1,0,0,0.283,0.338,0.4,0.738,0.002,98.7
2,황영묵,hanhwa,SS,0.51,25,86,86,78,11,26,2,0,1,31,9,1,1,6,2,0,12,2,0,0,0.333,0.395,0.397,0.792,0.022,113.8
3,하주석,hanhwa,SS,0.05,11,36,36,34,2,11,3,0,0,14,3,0,2,2,0,0,9,0,0,0,0.324,0.361,0.412,0.773,0.008,103.3
1,최인호,hanhwa,LF,1.57,38,140,137,114,21,31,8,1,1,44,10,1,0,19,2,0,22,0,3,2,0.272,0.38,0.386,0.766,0.038,124.9
2,이명기,hanhwa,LF,-0.09,3,7,7,7,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,-0.3hanhwa,-150.0
3,유로결,hanhwa,LF,-0.17,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,-0.313,-141.5
1,이원석,hanhwa,CF,0.06,17,6,6,5,1,1,0,0,0,1,1,1,0,1,0,0,2,1,0,0,0.2,0.333,0.2,0.533,-0.071,43.0
2,장진혁,hanhwa,CF,-0.06,2,7,7,6,2,1,0,0,0,1,0,1,0,0,1,0,3,0,0,0,0.167,0.286,0.167,0.453,-0.097,23.3
3,임종찬,hanhwa,CF,-0.19,21,60,60,54,8,8,3,2,0,15,7,0,1,5,1,0,17,2,0,0,0.148,0.233,0.278,0.511,-0.074,40.6
4,김강민,hanhwa,CF,-0.67,13,25,25,23,0,2,0,0,0,2,0,0,0,2,0,0,7,1,0,0,0.087,0.16,0.087,0.247,-0.194,-51.0
1,페라자,hanhwa,RF,1.82,40,187,186,162,30,50,10,0,12,96,31,2,3,24,0,2,45,2,0,1,0.309,0.396,0.593,0.989,0.092,166.4
2,이진영,hanhwa,RF,0.02,23,63,63,55,9,11,4,0,0,15,8,0,0,6,2,0,18,1,0,0,0.2,0.302,0.273,0.575,-0.063,48.7
3,김태연,hanhwa,RF,0.0,27,68,67,55,8,15,6,0,1,24,9,0,2,10,2,0,7,1,1,0,0.273,0.403,0.436,0.839,0.041,127.3
1,서동욱,lotte,C,0.0,2,3,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.333,0.0,0.333,-0.086,31.6
2,백두산,lotte,C,-0.02,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.315,-142.9
3,손성빈,lotte,C,-0.16,12,17,17,15,3,1,0,0,0,1,0,0,0,2,0,0,5,1,0,0,0.067,0.176,0.067,0.243,-0.187,-45.7
4,정보근,lotte,C,-0.2,25,55,54,53,1,13,0,1,0,15,2,0,0,1,0,0,10,3,1,0,0.245,0.259,0.283,0.542,-0.081,36.2
5,유강남,lotte,C,-0.51,26,76,75,67,2,11,2,0,0,13,4,0,0,5,3,0,10,2,1,0,0.164,0.253,0.194,0.447,-0.111,13.8
1,정훈,lotte,1B,0.09,36,139,139,129,12,35,9,0,3,53,15,1,0,10,0,0,24,1,0,0,0.271,0.324,0.411,0.735,-0.013,86.8
2,나승엽,lotte,1B,-0.24,17,57,57,52,7,14,1,2,0,19,3,0,0,4,0,0,17,0,0,1,0.269,0.316,0.365,0.681,-0.033,72.0
1,정대선,lotte,2B,0.0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.315,-142.9
2,김민성,lotte,2B,-0.04,19,52,52,43,2,9,1,0,1,13,4,0,1,7,1,0,9,1,0,1,0.209,0.327,0.302,0.629,-0.052,57.5
3,최항,lotte,2B,-0.13,25,63,63,56,3,13,2,0,0,15,6,0,0,7,0,0,15,2,0,0,0.232,0.317,0.268,0.585,-0.066,46.9
4,이주찬,lotte,2B,-0.36,14,24,24,23,6,4,1,0,1,8,2,0,0,1,0,0,9,1,0,0,0.174,0.208,0.348,0.556,-0.018,83.5
1,손호영,lotte,3B,0.93,27,104,103,98,15,32,6,2,3,51,18,6,3,3,2,0,21,1,1,0,0.327,0.359,0.52,0.879,0.054,137.4
2,오선진,lotte,3B,0.06,8,12,11,8,0,1,0,0,0,1,0,0,0,1,2,0,4,0,1,0,0.125,0.364,0.125,0.489,-0.053,59.9
3,한동희,lotte,3B,-0.21,10,23,23,22,1,7,2,0,0,9,3,0,0,1,0,1,5,0,0,0,0.318,0.348,0.409,0.757,-0.021,81.1
4,박승욱,lotte,3B,-0.79,37,90,90,81,8,18,2,0,1,23,7,0,1,7,2,0,23,2,0,0,0.222,0.3,0.284,0.584,-0.066,46.5
1,이학주,lotte,SS,0.15,18,55,53,47,7,16,2,1,0,20,0,0,0,5,1,0,22,0,2,0,0.34,0.415,0.426,0.841,0.024,114.3
2,노진혁,lotte,SS,-0.29,17,45,45,39,3,6,1,0,0,7,2,0,0,6,0,0,12,0,0,0,0.154,0.267,0.179,0.446,-0.108,14.7
1,황성빈,lotte,LF,1.15,26,41,41,37,18,14,0,2,3,27,8,12,0,4,0,0,7,0,0,0,0.378,0.439,0.73,1.169,0.166,223.4
2,고승민,lotte,LF,0.95,20,79,79,72,8,22,8,1,2,38,14,3,0,5,1,0,15,1,0,1,0.306,0.354,0.528,0.882,0.044,130.5
3,이정훈,lotte,LF,0.2,13,31,31,24,1,6,3,0,0,9,7,0,0,6,0,0,9,1,0,1,0.25,0.387,0.375,0.762,0.032,121.5
1,윤동희,lotte,CF,0.49,38,160,160,142,31,39,10,1,2,57,13,2,2,16,0,0,26,2,0,2,0.275,0.344,0.401,0.745,-0.008,90.9
2,신윤후,lotte,CF,0.01,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.315,-142.9
3,김민석,lotte,CF,-0.3,15,48,47,44,3,9,1,1,0,12,2,1,1,1,2,0,12,3,1,0,0.205,0.255,0.273,0.528,-0.08,37.4
1,레이예스,lotte,RF,1.25,39,173,173,156,23,54,9,0,5,78,28,4,0,14,1,0,26,5,0,2,0.346,0.399,0.5,0.899,0.054,137.8
2,장두성,lotte,RF,0.04,19,14,14,11,4,2,0,0,0,2,0,4,2,2,1,0,4,0,0,0,0.182,0.357,0.182,0.539,-0.061,50.3
1,전준우,lotte,DH,1.12,39,172,172,156,19,48,11,1,6,79,29,3,0,13,2,0,25,4,0,1,0.308,0.366,0.506,0.872,0.049,134.2
