RANK,NAME,TEAM,POSITION,WAR,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,RRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,RRA9,RRA9PF,FIP,WHIP
1,산체스,hanhwa,P,1.86,8,8,0,0,0,0,2,0,0,0,43.2,13,15,14.0,188,42,6,0,2,13,8,1,52,3,1,1,2.68,3.09,2.89,2.83,3.27,1.26
2,주현상,hanhwa,P,1.13,18,0,18,11,0,0,3,0,3,2,21.0,3,3,3.0,76,15,1,0,2,1,0,0,18,0,0,0,1.29,1.29,1.29,1.33,3.35,0.76
3,황준서,hanhwa,P,0.76,9,5,4,0,0,0,1,3,0,0,28.0,13,13,13.0,125,27,5,0,3,14,4,0,27,1,0,2,4.18,4.18,4.18,4.07,5.07,1.46
4,김민우,hanhwa,P,0.57,3,3,0,0,0,0,1,0,0,0,12.1,3,3,3.0,49,7,0,0,2,6,0,0,13,1,0,0,2.19,2.19,2.19,2.31,5.02,1.05
5,페냐,hanhwa,P,0.48,8,8,0,0,0,0,3,4,0,0,35.2,22,24,24.0,161,37,5,0,6,18,0,0,27,1,0,1,5.55,6.06,6.06,5.95,5.89,1.54
6,이민우,hanhwa,P,0.45,20,0,20,4,0,0,0,0,1,3,17.1,5,5,7.55,69,15,0,0,2,6,0,0,17,0,0,1,2.6,2.6,3.92,3.93,4.21,1.21
7,조동욱,hanhwa,P,0.34,1,1,0,0,0,0,1,0,0,0,6.0,0,1,1.0,21,3,0,0,0,1,0,0,0,0,0,0,0.0,1.5,1.5,1.46,4.73,0.67
8,류현진,hanhwa,P,0.34,8,8,0,0,0,0,2,4,0,0,43.0,27,33,31.95,190,49,5,1,1,13,0,0,39,4,0,1,5.65,6.91,6.69,6.66,3.16,1.44
9,장시환,hanhwa,P,0.31,13,0,13,1,0,0,2,2,0,1,12.1,8,8,5.1,55,10,2,0,0,10,0,0,9,0,0,0,5.84,5.84,3.72,3.63,4.9,1.62
10,장민재,hanhwa,P,0.21,8,0,8,2,0,0,0,1,0,0,10.0,5,5,4.65,50,17,1,0,1,3,0,0,7,0,0,0,4.5,4.5,4.18,3.99,4.58,2.0
11,김규연,hanhwa,P,0.16,16,0,16,5,0,0,0,0,0,0,15.2,8,9,10.75,70,20,3,0,2,4,2,1,12,1,0,0,4.6,5.17,6.18,5.83,5.01,1.53
12,한승혁,hanhwa,P,0.1,16,0,16,0,0,0,0,4,0,3,14.0,11,12,9.75,67,14,3,0,0,11,1,0,13,1,0,1,7.07,7.71,6.27,6.09,4.55,1.79
13,김서현,hanhwa,P,0.08,5,0,5,0,0,0,0,0,0,0,6.0,1,2,3.55,30,4,0,0,0,6,2,0,3,1,0,0,1.5,3.0,5.32,5.44,7.1,1.67
14,김기중,hanhwa,P,0.02,4,0,4,2,0,0,0,0,0,0,3.0,2,2,2.0,16,7,0,0,0,1,0,0,2,0,0,0,6.0,6.0,6.0,6.09,3.58,2.67
15,김범수,hanhwa,P,0.01,18,0,18,2,0,0,0,0,0,1,14.1,11,11,12.2,68,15,1,0,5,5,5,0,19,1,0,2,6.91,6.91,7.66,7.66,7.21,1.4
16,배민서,hanhwa,P,-0.03,1,0,1,0,0,0,0,0,0,0,1.2,3,3,3.0,11,4,1,0,0,3,0,0,1,0,0,0,16.2,16.2,16.2,15.79,8.29,4.2
17,이충호,hanhwa,P,-0.07,3,0,3,0,0,0,0,0,0,0,2.1,1,1,3.05,13,4,1,0,0,3,0,0,3,0,0,0,3.86,3.86,11.76,11.2,4.99,3.0
18,한승주,hanhwa,P,-0.08,5,0,5,3,0,0,0,1,0,0,6.1,7,8,8.0,32,10,1,1,1,4,1,0,4,0,0,0,9.95,11.37,11.37,11.16,6.96,2.21
19,장지수,hanhwa,P,-0.12,9,0,9,3,0,0,0,0,0,0,9.2,15,16,12.75,53,15,4,1,0,9,1,2,7,1,0,1,13.97,14.9,11.87,11.54,4.97,2.48
20,문동주,hanhwa,P,-0.25,6,6,0,0,0,0,1,2,0,0,26.2,26,29,28.3,140,46,7,2,6,13,2,0,21,2,0,1,8.78,9.79,9.55,9.48,6.67,2.21
21,박상원,hanhwa,P,-0.26,14,0,14,4,0,0,0,1,1,1,11.2,12,13,14.2,57,17,7,0,1,6,1,0,9,1,0,6,9.26,10.03,10.95,10.84,5.17,1.97
22,이태양,hanhwa,P,-0.27,10,1,9,3,0,0,0,2,0,0,9.1,12,13,14.2,48,17,3,0,4,2,0,0,2,1,0,0,11.57,12.54,13.69,14.02,9.44,2.04
1,반즈,lotte,P,1.68,8,8,0,0,0,0,2,2,0,0,48.0,22,22,21.3,200,46,7,1,7,13,3,0,63,1,0,2,4.13,4.13,3.99,3.85,3.7,1.23
2,윌커슨,lotte,P,1.43,9,9,0,0,0,0,2,4,0,0,51.2,26,27,27.0,215,57,12,1,8,6,1,0,43,3,0,2,4.53,4.7,4.7,4.57,4.4,1.22
3,박세웅,lotte,P,0.95,8,8,0,0,0,0,3,3,0,0,43.2,22,28,26.6,195,52,9,0,3,14,2,0,31,5,0,2,4.53,5.77,5.48,5.33,4.39,1.51
4,김원중,lotte,P,0.72,15,0,15,12,0,0,0,2,7,0,15.2,5,5,5.7,70,13,1,0,2,10,1,3,19,0,0,0,2.87,2.87,3.27,3.14,4.48,1.47
5,최준용,lotte,P,0.63,22,0,22,3,0,0,1,2,0,3,19.1,8,8,8.85,85,20,2,0,1,10,0,1,11,1,0,1,3.72,3.72,4.12,3.9,4.85,1.55
6,나균안,lotte,P,0.46,8,8,0,0,0,0,1,4,0,0,37.1,26,29,27.6,187,58,7,0,6,17,3,0,34,1,0,4,6.27,6.99,6.65,6.56,5.51,2.01
7,한현희,lotte,P,0.43,10,0,10,3,0,0,1,0,0,0,11.1,4,4,3.3,47,10,0,0,0,3,3,0,10,1,0,0,3.18,3.18,2.62,2.42,3.65,1.15
8,임준섭,lotte,P,0.26,17,0,17,1,0,0,0,0,0,2,9.1,6,6,3.75,41,6,1,0,0,9,2,0,3,0,0,0,5.79,5.79,3.62,3.51,7.06,1.61
9,이인복,lotte,P,0.23,6,5,1,0,0,0,0,2,0,0,27.0,21,21,22.05,127,37,10,0,5,11,2,0,15,1,0,4,7.0,7.0,7.35,7.05,6.52,1.78
10,전미르,lotte,P,0.21,22,0,22,3,0,0,1,2,0,4,19.2,11,17,13.75,96,21,8,0,1,15,0,2,24,4,0,3,5.03,7.78,6.29,5.82,3.98,1.83
11,진해수,lotte,P,0.21,6,0,6,0,0,0,0,0,0,1,4.1,0,0,1.0,15,2,1,0,0,1,0,0,2,0,0,0,0.0,0.0,2.08,1.92,3.78,0.69
12,김상수,lotte,P,0.18,21,0,21,3,0,0,2,0,0,1,18.2,9,9,13.2,84,19,2,0,2,8,2,0,13,0,1,2,4.34,4.34,6.36,6.17,5.41,1.45
13,박진형,lotte,P,0.14,6,0,6,0,0,0,0,0,0,0,5.2,3,3,2.65,22,6,1,0,0,1,1,0,3,0,0,0,4.76,4.76,4.21,4.13,3.99,1.24
14,박진,lotte,P,0.07,8,0,8,3,0,0,0,2,0,0,5.2,5,5,4.15,27,10,2,0,1,1,0,0,2,0,0,0,7.94,7.94,6.59,6.2,5.98,1.94
15,현도훈,lotte,P,0.04,2,0,2,2,0,0,0,0,0,0,3.0,1,1,1.7,12,2,0,1,0,1,0,0,3,0,0,0,3.0,3.0,5.1,4.71,2.75,1.0
16,홍민기,lotte,P,0.04,1,1,0,0,0,0,0,0,0,0,2.2,2,2,2.0,15,4,1,0,0,0,2,0,1,1,0,1,6.75,6.75,6.75,6.24,5.6,1.5
17,정우준,lotte,P,0.01,4,0,4,3,0,0,0,0,0,0,4.0,2,2,2.7,16,4,1,0,1,1,0,0,1,0,0,0,4.5,4.5,6.07,5.91,7.34,1.25
18,김도규,lotte,P,0.01,2,0,2,1,0,0,0,0,0,0,2.0,2,2,2.0,13,4,0,0,0,3,0,1,2,0,0,0,9.0,9.0,9.0,9.5,6.36,3.5
19,정현수,lotte,P,0.0,1,0,1,0,0,0,0,0,0,0,0.0,1,1,0.3,1,0,0,0,0,1,0,0,0,0,0,0,99.99,99.99,13.4,12.78,3104.21,99.99
20,우강훈,lotte,P,-0.01,1,0,1,0,0,0,0,0,0,0,0.0,1,1,0.65,3,0,0,0,0,2,1,0,0,0,0,0,99.99,99.99,22.85,22.19,9304.21,99.99
21,최이준,lotte,P,-0.01,8,0,8,5,0,0,0,0,0,0,8.0,6,6,8.05,44,12,1,1,0,9,1,0,4,0,0,1,6.75,6.75,9.06,8.88,6.84,2.63
22,구승민,lotte,P,-0.26,9,0,9,0,0,0,0,2,0,0,5.1,13,13,13.7,39,17,2,0,4,7,0,0,5,0,0,4,21.94,21.94,23.12,22.25,14.86,4.5
1,양현종,KIA,P,2.12,8,8,0,1,1,0,3,1,0,0,50.2,15,16,15.5,206,42,9,0,4,12,2,0,37,3,0,1,2.66,2.84,2.75,2.76,4.19,1.07
2,네일,KIA,P,1.79,8,8,0,0,0,0,4,1,0,0,49.0,8,17,17.0,203,48,12,1,2,5,4,0,51,6,0,1,1.47,3.12,3.12,3.22,2.67,1.08
3,크로우,KIA,P,1.05,8,8,0,0,0,0,5,1,0,0,40.1,16,19,18.0,172,41,7,0,2,12,1,1,43,1,0,0,3.57,4.24,4.02,4.3,3.06,1.31
4,윤영철,KIA,P,0.95,7,7,0,0,0,0,3,1,0,0,37.1,18,19,18.0,162,34,4,0,3,19,0,0,26,4,0,0,4.34,4.58,4.34,4.45,5.01,1.42
5,정해영,KIA,P,0.63,16,0,16,16,0,0,2,1,12,0,17.2,5,5,6.2,75,18,0,0,3,5,0,0,19,0,0,0,2.55,2.55,3.16,3.2,4.42,1.3
6,최지민,KIA,P,0.56,21,0,21,2,0,0,2,2,2,5,18.0,4,5,7.4,83,13,4,0,0,15,2,0,12,1,0,3,2.0,2.5,3.7,3.67,5.48,1.56
7,곽도규,KIA,P,0.54,22,0,22,0,0,0,1,0,0,6,17.1,4,5,6.2,75,11,1,0,1,13,0,0,23,1,0,2,2.08,2.6,3.22,3.37,3.91,1.38
8,황동하,KIA,P,0.12,6,3,3,3,0,0,0,2,0,0,17.2,9,13,13.35,79,17,5,0,3,9,1,0,9,2,0,1,4.58,6.62,6.8,6.91,6.72,1.47
9,장현식,KIA,P,0.12,23,0,23,1,0,0,0,1,0,5,20.0,11,15,12.25,91,19,5,0,4,12,0,0,23,3,0,2,4.95,6.75,5.51,5.69,5.58,1.55
10,이의리,KIA,P,0.11,3,3,0,0,0,0,1,0,0,0,10.1,5,7,7.0,55,13,3,0,1,11,0,0,14,1,0,0,4.35,6.1,6.1,6.25,5.28,2.32
11,전상현,KIA,P,0.1,19,0,19,1,0,0,2,3,0,7,16.1,12,12,9.6,69,18,3,0,2,3,1,0,9,0,0,0,6.61,6.61,5.29,5.62,5.05,1.29
12,김건국,KIA,P,0.09,10,2,8,1,0,0,0,1,0,0,20.0,15,16,13.4,93,26,6,0,2,7,0,0,12,1,0,3,6.75,7.2,6.03,6.26,4.99,1.65
13,임기영,KIA,P,0.05,2,0,2,0,0,0,1,0,0,0,1.1,0,0,0.5,7,0,0,0,0,3,0,0,2,0,0,0,0.0,0.0,3.38,3.57,7.44,2.25
14,김도현,KIA,P,-0.01,5,0,5,1,0,0,0,0,0,1,3.0,2,2,2.5,18,4,0,0,1,4,1,0,4,0,0,1,6.0,6.0,7.5,7.81,10.01,2.67
15,유승철,KIA,P,-0.02,2,0,2,1,0,0,0,0,0,0,2.0,3,3,1.8,12,2,0,0,0,5,0,0,1,0,0,1,13.5,13.5,8.1,8.65,10.71,3.5
16,김현수,KIA,P,-0.04,4,0,4,4,0,0,0,0,0,0,4.1,3,3,4.7,19,3,3,0,0,2,1,0,4,0,0,2,6.23,6.23,9.76,10.34,4.05,1.15
17,김대유,KIA,P,-0.04,4,0,4,1,0,0,0,0,0,0,2.2,5,5,4.5,15,5,1,0,2,2,0,0,3,0,0,0,16.88,16.88,15.19,15.77,12.65,2.63
18,이준영,KIA,P,-0.05,17,0,17,2,0,0,1,0,0,2,8.2,2,5,6.5,41,9,3,0,0,4,1,1,8,2,0,0,2.08,5.19,6.75,7.03,3.34,1.5
19,김사윤,KIA,P,-0.07,9,1,8,3,0,0,0,0,0,0,12.2,6,12,11.15,63,15,2,0,1,10,3,0,10,0,0,1,4.26,8.53,7.92,8.23,6.36,1.97
20,윤중현,KIA,P,-0.09,5,0,5,2,0,0,0,0,0,0,2.1,5,6,8.25,19,5,1,0,1,6,1,1,1,1,0,0,19.29,23.14,31.82,32.5,16.21,4.71
21,이형범,KIA,P,-0.09,6,0,6,1,0,0,0,0,0,1,5.0,4,5,5.0,27,6,1,0,0,3,3,1,3,1,0,0,7.2,9.0,9.0,9.53,6.43,1.8
22,박준표,KIA,P,-0.11,4,0,4,0,0,0,0,0,0,1,2.0,3,3,4.2,15,8,2,0,0,1,1,0,2,0,0,0,13.5,13.5,18.9,18.96,4.81,4.5
1,하트,NC,P,1.26,8,8,0,0,0,0,4,1,0,0,48.1,16,19,19.0,198,42,6,1,2,13,2,0,50,5,0,1,2.98,3.54,3.54,3.66,3.08,1.14
2,김시훈,NC,P,1.24,8,8,0,0,0,0,2,0,0,0,38.2,12,13,12.65,167,37,6,0,3,22,1,0,25,2,0,1,2.79,3.03,2.94,3.06,5.37,1.53
3,신민혁,NC,P,0.96,8,8,0,0,0,0,2,3,0,0,42.1,16,19,18.65,183,54,8,0,6,3,1,0,30,1,0,1,3.4,4.04,3.96,4.03,4.42,1.35
4,김재열,NC,P,0.69,21,0,21,1,0,0,1,0,0,6,21.0,3,3,5.05,79,10,1,0,1,7,0,0,20,0,0,0,1.29,1.29,2.16,2.24,3.43,0.81
5,카스타노,NC,P,0.64,8,8,0,0,0,0,3,2,0,0,49.1,20,28,28.0,208,46,11,0,6,8,4,0,40,5,0,0,3.65,5.11,5.11,5.17,4.39,1.09
6,이용찬,NC,P,0.56,21,0,21,17,0,0,2,3,8,0,22.0,6,7,8.25,91,22,4,1,1,6,1,1,19,1,0,3,2.45,2.86,3.38,3.34,3.58,1.27
7,이재학,NC,P,0.52,7,7,0,0,0,0,2,4,0,0,37.2,18,21,20.65,162,34,8,2,6,13,3,0,35,1,0,0,4.3,5.02,4.93,4.97,5.1,1.25
8,한재승,NC,P,0.52,20,0,20,4,0,0,0,0,0,4,18.0,3,3,5.8,73,15,1,0,0,7,0,0,17,0,0,2,1.5,1.5,2.9,2.89,3.06,1.22
9,임정호,NC,P,0.35,15,0,15,1,0,0,1,1,0,4,12.0,4,5,4.45,60,14,1,0,0,8,1,1,10,1,0,0,3.0,3.75,3.34,3.25,4.2,1.83
10,이준호,NC,P,0.16,12,0,12,3,0,0,2,2,0,0,13.0,6,6,6.35,59,13,2,0,2,8,1,0,9,0,0,0,4.15,4.15,4.4,4.37,6.46,1.62
11,류진욱,NC,P,0.09,13,0,13,1,0,0,0,0,0,3,11.1,6,6,6.85,49,12,2,0,0,3,0,0,6,0,0,1,4.76,4.76,5.44,5.25,3.71,1.32
12,신영우,NC,P,0.04,2,1,1,1,0,0,0,0,0,0,5.2,4,4,4.0,29,4,2,0,0,6,2,0,6,0,0,0,6.35,6.35,6.35,6.29,5.94,1.76
13,전사민,NC,P,-0.02,3,0,3,2,0,0,0,0,0,0,2.2,3,3,2.5,17,6,1,0,0,2,1,0,2,0,0,0,10.13,10.13,8.44,7.94,5.83,3.0
14,서의태,NC,P,-0.02,10,0,10,2,0,0,1,0,0,0,7.2,8,8,6.45,32,5,1,0,1,6,0,0,7,0,0,1,9.39,9.39,7.57,7.64,5.91,1.43
15,채원후,NC,P,-0.03,3,0,3,1,0,0,0,0,0,0,3.0,4,4,4.0,18,6,2,0,0,3,0,0,2,0,0,2,12.0,12.0,12.0,11.89,5.65,3.0
16,김영규,NC,P,-0.03,12,0,12,0,0,0,2,1,0,4,10.0,7,10,6.85,46,9,1,0,1,9,0,0,13,1,0,0,6.3,9.0,6.16,6.09,4.94,1.8
17,송명기,NC,P,-0.09,7,0,7,3,0,0,1,0,0,0,8.0,8,8,8.0,37,7,3,0,0,4,2,1,7,0,0,1,9.0,9.0,9.0,8.98,3.96,1.38
18,최성영,NC,P,-0.12,8,0,8,4,0,0,0,0,1,1,9.0,8,8,7.5,46,15,2,0,3,5,0,0,9,0,0,0,8.0,8.0,7.5,7.49,7.4,2.22
